dataset,model_alias,capture_stage,pool_last_k,best_layer,best_head,relative_depth,silhouette_cosine,comparison_note
subj,mistral_base,pre-rope,1,10,6,0.3225806451612903,0.2270,full tracked n1000 pre-RoPE run
subj,mistral_base,post-rope,1,10,6,0.3225806451612903,0.22450759747544766,user-reported terminal summary
subj,mistral_it,pre-rope,1,7,15,0.22580645161290322,0.2154,full tracked n1000 pre-RoPE run
subj,mistral_it,post-rope,1,10,6,0.3225806451612903,0.21019049792046127,user-reported terminal summary
subj,llama3_base,pre-rope,1,11,6,0.3548387096774194,0.1758,full tracked n1000 pre-RoPE run
subj,llama3_base,post-rope,1,5,1,0.16129032258064516,0.16954442104799755,user-reported terminal summary
subj,llama3_it,pre-rope,1,20,31,0.6451612903225806,0.2187,full tracked n1000 pre-RoPE run
subj,llama3_it,post-rope,1,20,31,0.6451612903225806,0.20095690158412655,user-reported terminal summary
subj,gemma2_2b_base,pre-rope,1,21,4,0.84,0.1663,full tracked n1000 pre-RoPE run
subj,gemma2_2b_base,post-rope,1,15,0,0.6,0.15284128177341452,user-reported terminal summary
subj,gemma2_2b_it,pre-rope,1,1,0,0.04,0.0345,full tracked n1000 pre-RoPE run
subj,gemma2_2b_it,post-rope,1,12,1,0.48,0.028551809843857814,user-reported terminal summary
sst2_prompted_strongest,mistral_base,pre-rope,5,10,21,0.3225806451612903,0.0978,full tracked n1000 pre-RoPE run; strongest across pool_last_k=1/3/5
sst2_prompted_strongest,mistral_base,post-rope,1,28,25,0.9032258064516129,0.06764788510000809,full post-RoPE rerun; strongest across pool_last_k=1/3/5
sst2_prompted_strongest,mistral_it,pre-rope,1,23,30,0.7419354838709677,0.1726,full tracked n1000 pre-RoPE run; strongest across pool_last_k=1/3/5
sst2_prompted_strongest,mistral_it,post-rope,1,28,25,0.9032258064516129,0.1513951947462171,full post-RoPE rerun; strongest across pool_last_k=1/3/5
sst2_prompted_strongest,llama3_base,pre-rope,1,20,24,0.6451612903225806,0.1205,full tracked n1000 pre-RoPE run; strongest across pool_last_k=1/3/5
sst2_prompted_strongest,llama3_base,post-rope,1,20,24,0.6451612903225806,0.11194168588715668,full post-RoPE rerun; strongest across pool_last_k=1/3/5
sst2_prompted_strongest,llama3_it,pre-rope,1,18,28,0.5806451612903226,0.2246,full tracked n1000 pre-RoPE run; strongest across pool_last_k=1/3/5
sst2_prompted_strongest,llama3_it,post-rope,1,18,28,0.5806451612903226,0.19801316799415491,full post-RoPE rerun; strongest across pool_last_k=1/3/5
sst2_prompted_strongest,gemma2_2b_base,pre-rope,5,12,4,0.48,0.0587,full tracked n1000 pre-RoPE run; strongest across pool_last_k=1/3/5
sst2_prompted_strongest,gemma2_2b_base,post-rope,5,14,7,0.56,0.038205852586429376,full post-RoPE rerun; strongest across pool_last_k=1/3/5
sst2_prompted_strongest,gemma2_2b_it,pre-rope,5,12,3,0.48,0.0266,full tracked n1000 pre-RoPE run; strongest across pool_last_k=1/3/5
sst2_prompted_strongest,gemma2_2b_it,post-rope,5,12,3,0.48,0.02545010391486514,full post-RoPE rerun; strongest across pool_last_k=1/3/5
