model_alias,backend,model_path,dataset_source,rank,layer,head,relative_depth,silhouette_cosine
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,1,10,6,0.3225806451612903,0.23073412766142704
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,2,9,7,0.2903225806451613,0.2254944308069956
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,3,11,22,0.3548387096774194,0.22074665351153222
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,4,17,3,0.5483870967741935,0.21928748126115166
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,5,8,4,0.25806451612903225,0.21760543668007543
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,6,9,5,0.2903225806451613,0.21465697246911447
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,7,8,14,0.25806451612903225,0.20903361720488756
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,8,7,15,0.22580645161290322,0.20665879654882066
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,9,11,14,0.3548387096774194,0.19857990979220946
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,10,27,14,0.8709677419354839,0.1977865295431536
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,1,11,22,0.3548387096774194,0.22895616028371785
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,2,7,15,0.22580645161290322,0.22836197120498347
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,3,17,3,0.5483870967741935,0.22712069089758202
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,4,10,6,0.3225806451612903,0.22300525117704786
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,5,9,7,0.2903225806451613,0.21380172061081304
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,6,8,4,0.25806451612903225,0.21133999959015973
